Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,TOV,GmSc,FGA,3PA,Games_Played,Efficiency_Rating,Usage_Rate,Impact_Score,Scoring_Focus,Rebounding_Focus,Playmaking_Focus,Cluster_KMeans,Cluster_DBSCAN,Archetype,Elite_Trajectory,Player_Name,Impact_Score_Rank
MIL,22.0,7.66,2.25,1.27,0.55,0.11,0.43,0.4,0.14,0.61,5.4,5.86,5.05,44,11.23,14.116363636363639,7.149,0.6851520572450805,0.20125223613595708,0.11359570661896244,1,0,Primary Scorer,0,A.J. Green,300.0
DEN,26.67,12.33,4.73,3.07,0.47,0.27,0.51,0.4,0.63,1.33,10.7,8.5,2.8,30,19.54,17.691788526434195,13.351999999999999,0.6125186289120714,0.2349726775956284,0.15250869349230003,4,0,Primary Scorer,0,Aaron Gordon,129.0
HOU,11.37,4.22,0.94,1.19,0.36,0.11,0.35,0.28,0.22,0.47,3.1,3.44,2.31,36,6.3500000000000005,16.5065963060686,4.075,0.6645669291338583,0.14803149606299212,0.18740157480314962,1,0,Primary Scorer,0,Aaron Holiday,386.0
IND,20.95,8.2,3.33,1.27,0.6,0.27,0.48,0.39,0.56,0.73,6.43,5.53,2.4,15,12.939999999999998,14.342720763723152,8.383,0.640625,0.26015625000000003,0.09921875000000001,4,0,Primary Scorer,0,Aaron Nesmith,257.0
OKC,21.32,10.14,3.57,1.57,0.73,0.24,0.48,0.34,0.27,0.82,8.17,8.12,3.69,51,15.43,20.127579737335836,10.347999999999999,0.6636125654450261,0.23363874345549734,0.10274869109947643,1,0,Primary Scorer,0,Aaron Wiggins,196.0
OKC,4.28,1.26,0.42,0.0,0.26,0.05,0.22,0.2,0.0,0.05,0.01,2.47,2.0,19,1.94,28.261682242990656,0.589,0.75,0.25,0.0,1,-1,Primary Scorer,0,Adam Flagler,474.0
PHI,10.94,3.0,2.83,0.31,0.19,0.75,0.53,0.0,0.33,0.67,2.93,1.58,0.0,36,6.41,9.87202925045704,3.974,0.488599348534202,0.4609120521172639,0.050488599348534204,0,0,Glass Cleaner,0,Adem Bona,390.0
OKC,16.48,6.43,1.97,1.69,0.69,0.09,0.45,0.34,0.43,0.8,5.14,4.91,1.51,35,10.069999999999999,16.631067961165048,6.618999999999999,0.6372646184340931,0.1952428146679881,0.16749256689791872,1,0,Primary Scorer,0,Ajay Mitchell,315.0
BOS,26.2,7.85,5.25,1.92,0.6,0.85,0.39,0.32,0.2,0.72,7.3,7.05,5.0,40,15.749999999999998,14.235114503816794,9.834999999999999,0.5226364846870839,0.34953395472703064,0.1278295605858855,4,0,Primary Scorer,0,Al Horford,210.0
MIA,16.15,5.73,2.08,1.08,0.58,0.19,0.38,0.34,0.31,0.35,4.93,4.31,3.23,26,9.31,13.850154798761608,6.244,0.6445444319460067,0.233970753655793,0.12148481439820022,1,0,Primary Scorer,0,Alec Burks,327.0
OKC,19.19,5.55,2.77,2.42,1.81,0.48,0.35,0.26,0.18,0.65,6.03,5.48,3.23,31,12.38,15.332985930171963,7.9350000000000005,0.5167597765363128,0.2579143389199255,0.22532588454376162,2,0,Combo Guard,0,Alex Caruso,269.0
OKC,4.69,1.54,1.0,0.08,0.08,0.0,0.24,0.23,0.0,0.15,1.01,1.46,1.08,13,2.5500000000000003,16.477611940298505,1.472,0.5877862595419847,0.38167938931297707,0.030534351145038167,5,0,Role Player,0,Alex Ducas,458.0
SAC,7.16,1.44,1.78,0.83,0.22,0.5,0.35,0.03,0.09,0.31,2.1,1.14,0.17,36,4.46,9.720670391061452,2.808,0.35555555555555557,0.4395061728395062,0.20493827160493827,0,-1,Glass Cleaner,0,Alex Len,425.0
WAS,26.77,11.46,6.63,2.2,0.66,1.56,0.39,0.29,0.4,1.39,8.92,10.93,4.61,41,21.119999999999997,22.090399701158013,12.579999999999998,0.5648102513553476,0.326761951700345,0.10842779694430756,4,0,Primary Scorer,0,Alex Sarr,148.0
HOU,31.38,18.77,10.46,5.0,1.23,0.91,0.48,0.19,0.66,2.46,16.89,15.2,1.49,35,33.91,27.01338432122371,21.996,0.5483494011101372,0.3055799006719252,0.14607069821793747,4,-1,Primary Scorer,1,Alperen Sengun,31.0
HOU,31.48,20.23,10.92,5.15,1.38,0.38,0.49,0.27,0.71,2.23,17.78,16.15,1.23,13,35.830000000000005,28.025412960609913,23.195,0.5573002754820937,0.30082644628099175,0.14187327823691462,3,-1,Elite Sharpshooter,1,Alperen Şengün,26.0
